link,player,season,age,tm,lg,pos,g,gs,FirstSeasonMP,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,efgpercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,SeasonNumber_1,SeasonNumberAdj,CumSumSeasonAdj,SeasonNumber,mp,games,games_started,NumberOfSeasons,status,LastSeason,DraftYear,PickNumber,Team,College,wprev,w_lpercentprev,wcur,w_lpercentcur
/players/a/abdulta01.html,Tariq Abdul-Wahad,1997-98,23,SAC,NBA,SG,59,16,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2,0.9,0.6,0.2,1.1,1.4,6.4,1,0,0,1,4812.7,236,145,6,2,2002-03,1997,11,SAC,San Jose State,33,0.4026,33.4,0.4074
/players/a/abdursh01.html,Shareef Abdur-Rahim,1996-97,20,MEM,NBA,PF,80,71,35,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1,1,2.8,2.5,18.7,1,0,0,1,28879.7,830,704,12,2,2007-08,1996,3,VAN,California,NA,NA,NA,NA
/players/a/alexaco02.html,Courtney Alexander,2000-01,23,DAL,NBA,PG,38,6,12.4,1.6,4.7,0.348,0.1,0.3,0.3,1.6,4.4,0.351,0.357,0.9,1.2,0.733,0.5,1.1,1.7,0.6,0.4,0.1,0.6,2,4.2,1,0,0,1,4067.9,187,59,3,2,2002-03,2000,13,ORL,Fresno State,25.8,0.3476,31.2,0.4134
/players/a/allenma01.html,Malik Allen,2001-02,23,MIA,NBA,PF,12,2,13.4,1.8,4.3,0.431,0,0.1,0,1.8,4.2,0.44,0.431,0.7,0.8,0.8,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3,1,0,0,1,7259.7,478,125,10,2,2010-11,NA,61,NA,NA,49.8,0.6638,44.8,0.6028
/players/a/alstora01.html,Rafer Alston,1999-00,23,MIL,NBA,PG,27,0,13.4,1,3.5,0.284,0.1,0.5,0.214,0.9,3,0.296,0.3,0.1,0.1,0.75,0.2,0.7,0.9,2.6,0.4,0,1.1,1.1,2.2,1,0,0,1,19399.2,671,452,11,2,2009-10,1998,39,MIL,Fresno State,31,0.4248,32.6,0.4442
/players/a/amaecjo01.html,John Amaechi,1995-96,25,CLE,NBA,PF,28,3,12.8,1,2.5,0.414,0,0,NA,1,2.5,0.414,0.414,0.7,1.2,0.576,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8,1,0,0,1,4823.8,294,93,5,2,2002-03,NA,61,NA,NA,46.8,0.5706,49.6,0.6048
/players/a/anderch01.html,Chris Andersen,2001-02,23,DEN,NBA,C,24,1,10.9,1,3.1,0.338,0,0.2,0,1,2.9,0.357,0.338,0.9,1.2,0.786,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3,1,0,0,1,12280,695,45,15,2,2016-17,NA,61,NA,NA,24.2,0.3206,25.4,0.3352
/players/a/anderde01.html,Derek Anderson,1997-98,23,CLE,NBA,SF,66,13,27.9,3.6,8.9,0.408,0.3,1.3,0.202,3.4,7.6,0.442,0.422,4.2,4.8,0.873,0.8,2,2.8,3.4,1.3,0.2,1.9,2.1,11.7,1,0,0,1,17979.7,615,390,11,2,2007-08,1997,13,CLE,Kentucky,46.6,0.5682,45.2,0.551
/players/a/anderke01.html,Kenny Anderson,1991-92,21,NJN,NBA,PG,64,13,17,2.9,7.5,0.39,0,0.2,0.231,2.9,7.3,0.394,0.393,1.1,1.5,0.745,0.6,1.4,2,3.2,1,0.1,1.5,1.1,7,1,0,0,1,25863.9,858,693,14,2,2004-05,1991,2,NJN,Georgia Tech,25.4,0.3098,25.6,0.3122
/players/a/andersh01.html,Shandon Anderson,1996-97,23,UTA,NBA,SG,65,0,16.4,2.3,4.9,0.462,0.4,0.7,0.511,1.9,4.2,0.454,0.5,1,1.5,0.687,0.8,2,2.8,0.8,0.4,0.1,1.1,1.7,5.9,1,0,0,1,15941.3,719,226,10,2,2005-06,1996,54,UTA,Georgia,54,0.6586,55.8,0.6804
/players/a/archiro01.html,Robert Archibald,2002-03,22,MEM,NBA,PF,12,0,6,0.5,1.7,0.3,0,0,NA,0.5,1.7,0.3,0.3,0.6,1.5,0.389,0.5,0.9,1.4,0.3,0,0.3,0.6,0.8,1.6,1,0,0,1,328,44,3,2,2,2003-04,2002,32,MEM,Illinois,19,0.2454,20.8,0.2672
/players/a/arenagi01.html,Gilbert Arenas,2001-02,20,GSW,NBA,PG,47,30,24.6,3.7,8.2,0.453,0.8,2.4,0.345,2.9,5.8,0.498,0.504,2.6,3.4,0.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9,1,0,0,1,19357.1,552,455,11,2,2011-12,2001,31,GSW,Arizona,21,0.2908,19.2,0.2688
/players/a/armstbr01.html,Brandon Armstrong,2001-02,21,NJN,NBA,SG,35,0,5.6,0.8,2.4,0.318,0.1,0.5,0.294,0.6,1.9,0.324,0.347,0.1,0.3,0.5,0.3,0.2,0.5,0.2,0.2,0,0.2,0.7,1.8,1,0,0,1,702.5,108,0,3,2,2003-04,2001,23,HOU,Pepperdine,28.2,0.3698,33.4,0.4332
/players/a/armstda01.html,Darrell Armstrong,1994-95,26,ORL,NBA,PG,3,0,2.7,1,2.7,0.375,0.7,2,0.333,0.3,0.7,0.5,0.5,0.7,0.7,1,0.3,0,0.3,1,0.3,0,0.3,1,3.3,1,0,0,1,19916.6,840,337,14,2,2007-08,NA,61,NA,NA,32.2,0.3928,40,0.4878
/players/a/arroyca01.html,Carlos Arroyo,2001-02,22,TOR,NBA,PG,17,0,5.6,0.8,1.7,0.448,0,0,NA,0.8,1.7,0.448,0.448,0.2,0.4,0.667,0.2,0.5,0.7,1.2,0.4,0,0.7,0.7,1.8,1,0,0,1,10652.9,569,191,9,2,2010-11,NA,61,NA,NA,32,0.4282,34.4,0.4574
